JournalCode	JournalLib	EcritureNum	EcritureDate	CompteNum	CompteLib	CompAuxNum	CompAuxLib	PieceRef	PieceDate	EcritureLib	Debit	Credit	EcritureLet	DateLet	ValidDate	Montantdevise	Idevise
OD	Journal des opérations diverses	1	20240101	445810001	TVA A REGULARISER			2406-RTVA-000033	20240101	EXT	0,0	322,0			20251104	-322,00	EUR
OD	Journal des opérations diverses	1	20240101	44571009	TVA collectée à 20%			2406-RTVA-000033	20240101	EXT	322,0	0,0			20251104	322,00	EUR
OD	Journal des opérations diverses	2	20240101	706	Prestations de services			2312-RPCA-000001	20240101	Ext.PCA 2023 MR BRICOLAGE MCB MCI	0,0	18500,0			20251104	-18500,00	EUR
OD	Journal des opérations diverses	2	20240101	487	Produits constatés d'avance			2312-RPCA-000001	20240101	Ext.PCA 2023 MR BRICOLAGE MCB MCI	18500,0	0,0			20251104	18500,00	EUR
OD	Journal des opérations diverses	3	20240101	706	Prestations de services			2312- FAE-000001	20240101	Ext.ATELIER BRICO ET LEROY MERLIN	39847,0	0,0			20251104	39847,00	EUR
OD	Journal des opérations diverses	3	20240101	44587	Taxes sur le chiffre d'affaires sur factures à établir			2312- FAE-000001	20240101	Ext.ATELIER BRICO ET LEROY MERLIN	7969,4	0,0			20251104	7969,40	EUR
OD	Journal des opérations diverses	3	20240101	418000001	CLTS FACT A ETABLIR			2312- FAE-000001	20240101	Ext.ATELIER BRICO ET LEROY MERLIN	0,0	47816,4			20251104	-47816,40	EUR
OD	Journal des opérations diverses	4	20240101	641	REMUNERATIONS EQUIPE MON COACH			2312-EX -000004	20240101	PROVISION 2023	0,0	8190,0			20251104	-8190,00	EUR
OD	Journal des opérations diverses	4	20240101	6413	REMUNERATIONS COACH			2312-EX -000004	20240101	PROVISION 2023	0,0	19110,0			20251104	-19110,00	EUR
OD	Journal des opérations diverses	4	20240101	421000001	SALAIRES + COACH			2312-EX -000004	20240101	PROVISION 2023	27300,0	0,0			20251104	27300,00	EUR
AN	Journal des à-nouveaux	5	20240101	411	Clients	411CLEROY	LEROY MERLIN + DIV	2011- -000001	20240101	16/11/2020 -BN- VIR SEPA RECU /FRM LEROY MERLIN FR - 18561	0,0	1068,0			20251104	-1068,00	EUR
AN	Journal des à-nouveaux	5	20240101	411	Clients	411CLEROY	LEROY MERLIN + DIV	2011- -000001	20240101	16/11/2020 -BN- VIR SEPA RECU /FRM LEROY MERLIN FR - 18561	0,0	4272,0			20251104	-4272,00	EUR
AN	Journal des à-nouveaux	5	20240101	411	Clients	411CLEROY	LEROY MERLIN + DIV	2011- -000001	20240101	20/11/2020 -BN- VIR SEPA RECU /FRM LEROY MERLIN FR - 18561	0,0	5364,0			20251104	-5364,00	EUR
AN	Journal des à-nouveaux	5	20240101	411	Clients	411CLEROY	LEROY MERLIN + DIV	2011- -000001	20240101	25/11/2020 -BN- VIR SEPA RECU /FRM LEROY MERLIN FR - 18561	0,0	318,0			20251104	-318,00	EUR
AN	Journal des à-nouveaux	5	20240101	411	Clients	411CLEROY	LEROY MERLIN + DIV	2011- -000001	20240101	30/11/2020 -BN- VIR SEPA RECU /FRM LEROY MERLIN FR - 18561	0,0	432,0			20251104	-432,00	EUR
AN	Journal des à-nouveaux	5	20240101	411	Clients	411CLEROY	LEROY MERLIN + DIV	2011- -000001	20240101	10/12/2020 -BN- VIR SEPA RECU /FRM LEROY MERLIN FR - 18561	0,0	318,0			20251104	-318,00	EUR
AN	Journal des à-nouveaux	5	20240101	411	Clients	411CLEROY	LEROY MERLIN + DIV	2011- -000001	20240101	15/12/2020 -BN- VIR SEPA RECU /FRM LEROY MERLIN FR - 18561	0,0	2184,0			20251104	-2184,00	EUR
AN	Journal des à-nouveaux	5	20240101	411	Clients	411CLEROY	LEROY MERLIN + DIV	2011- -000001	20240101	21/12/2020 -BN- VIR SEPA RECU /FRM LEROY MERLIN FR - 18561	0,0	2022,0			20251104	-2022,00	EUR
AN	Journal des à-nouveaux	5	20240101	411	Clients	411CLEROY	LEROY MERLIN + DIV	2011- -000001	20240101	29/12/2020 -BN- VIR SEPA RECU /FRM LEROY MERLIN FR - 18561	0,0	24237,6			20251104	-24237,60	EUR
AN	Journal des à-nouveaux	5	20240101	411	Clients	411CLEROY	LEROY MERLIN + DIV	2011- -000001	20240101	31/01/2019 -BN- VIR SEPA RECU /FRM LEROY MERLIN - 18561	0,0	2568,0			20251104	-2568,00	EUR
AN	Journal des à-nouveaux	5	20240101	411	Clients	411CLEROY	LEROY MERLIN + DIV	2011- -000001	20240101	29/01/2021 -BN- VIR SEPA RECU /FRM LEROY MERLIN FR - 18561	0,0	826,8			20251104	-826,80	EUR
AN	Journal des à-nouveaux	5	20240101	411	Clients	411CLEROY	LEROY MERLIN + DIV	2011- -000001	20240101	05/02/2021 -BN- VIR SEPA RECU /FRM LEROY MERLIN FR - 18561	0,0	3267,0			20251104	-3267,00	EUR
AN	Journal des à-nouveaux	5	20240101	411	Clients	411CLEROY	LEROY MERLIN + DIV	2011- -000001	20240101	22/02/2021 -BN- VIR SEPA RECU /FRM LEROY MERLIN FR - 18561	0,0	2124,0			20251104	-2124,00	EUR
AN	Journal des à-nouveaux	5	20240101	411	Clients	411CLEROY	LEROY MERLIN + DIV	2011- -000001	20240101	25/02/2021 -BN- VIR SEPA RECU /FRM LEROY MERLIN FR - 18561	0,0	432,0			20251104	-432,00	EUR
AN	Journal des à-nouveaux	5	20240101	411	Clients	411CLEROY	LEROY MERLIN + DIV	2011- -000001	20240101	15/03/2021 -BN- VIR SEPA RECU /FRM LEROY MERLIN FR - 18561	0,0	9662,4			20251104	-9662,40	EUR
